temp,duration,weight,germination,length,sproutwt,sproutdrywt
Ambient,24,0.63,98,3.31,1.28,0.46
Ambient,48,0.6,95,6.225,1.98,0.42
Ambient,72,0.64,97.5,15.71,3.98,0.42
Ambient,96,0.64,90,23.06,4.72,0.38
Ambient,120,0.61,99,26.15,4.98,0.41
25,24,0.58,95,2.793,1.13,0.44
25,48,0.59,97.5,5.993,1.93,0.41
25,72,0.56,92.5,12.68,3.96,0.39
25,96,0.54,100,20.7,4.85,0.41
25,120,0.53,100,25.02,5.26,0.42
30,24,0.56,97.5,1.74,2.45,0.53
30,48,0.58,95,7.075,2.48,0.47
30,72,0.59,90,11.09,2.93,0.45
30,96,0.58,90,23.54,3.98,0.4
30,120,0.58,97.5,22.55,4.14,0.41
